Nazwa,Lat,Lon
Warszawa,52.2297,21.0122
Kraków,50.0647,19.945
Wrocław,51.1079,17.0385
Poznań,52.4064,16.9252
Gdańsk,54.352,18.6466
Zakopane,49.2992,19.9496
Białystok,53.1325,23.1688
Lublin,51.2465,22.5684
Rzeszów,50.0412,21.9991
Opole,50.6751,17.9213
Zamość,50.7174,23.2524
Sandomierz,50.6826,21.7486
Karpacz,50.775,15.7556
Hel,54.6118,18.8003
Kołobrzeg,54.175,15.5833
